"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"District Sales Manager (Oncology Team)","Medical Pharma","Renata Limited","4","Manage a sales team of 6-10 people.Ensure effective monitoring to achieve the set target(s).","Manage a sales team of 6-10 people.","Full-time","M. Pharm / B. Pharm from any reputed institution","Age at most 40 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Staff Nurse-OT","Medical Pharma","Central Hospital Limited","04","Central Hospital Ltd – A multidisciplinary modern hospital with cutting-edge-technologies is looking for some self-motivated, competent and dynamic personnel in the following position.","","Full-time","Diploma/ B.Sc. in Nursing","Age 22 to 35 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Pharmacy Incharge (BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Organize the pharmacy in an efficient manner to make the identification of the products easier and fasterMaintain full control over delivering, stocking and labeling medicines and other products and monitor their condition to prevent expiring or deteriorationReviewing and executing physicians’ prescriptions checking their appropriateness and legalityListen carefully to customer to interpret their needs and issues and offer information and adviceCompleting GRN of medicines and other products in a timely mannerEnsure the billing is done in real time with 100% accuracyKeep track of medicines and generate PR and PO as per demandKeep track of online orders and fulfill the order as per customer requirement within the committed timeComply with all applicable legal rules, regulation and proceduresCarry out reconciliation at the end of the shift to hand over to the cash manager of the facilityAbility to supervise and develop a sales team in a regular basis to ensure the monthly sales achievementEnsure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme’s goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.","Organize the pharmacy in an efficient manner to make the identification of the products easier and faster","Full-time","The candidate should have an M.Pharm/B.Pharm  with a minimum CGPA of 2.50 or 2nd division/ class or equivalent result in all academic examinations from any recognized institution.","Age 25 to 40 years","Dhaka (Mirpur, Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"কমিউনিটি প্যারামেডিকস","Medical Pharma","Centre for Development Innovation & Practices - CDIP","10","`সিদীপ` বিগত ২৮ বছর যাবৎ আর্থ সামাজিক কর্মসূচি বাস্তবায়নের মাধ্যমে টেকসই দারিদ্র বিমোচনে কাজ করে আসছে এবং প্রান্তিক মানুষের জীবন ও জীবিকার উন্নয়নে ব্রাহ্মণবাড়ীয়া, কুমিল্লা, চাঁদপুর, নোয়াখালী, লক্ষীপুর, ফেনী, চট্টগ্রাম, ঢাকা, গাজীপুর, মাদারীপুর, ফরিদপুর, শরিয়তপুর, টাঙ্গাইল, মুন্সীগঞ্জ, নারায়ণগঞ্জ, নরসিংদী, ময়মনসিংহ, সিরাজগঞ্জ, রাজশাহী, পাবনা, নাটোর, চাঁপাইনবাবগঞ্জ, কুষ্টিয়া, গোপালগঞ্জ, মানিকগঞ্জ, হবিগঞ্জ ও রাজবাড়ী জেলায় কাজ করছে। সিদীপ-এর মাইক্রোফাইন্যান্স কর্মসূচিতে গ্রামীণ পরিবেশে অবস্থান করে গ্রামীণ জনগোষ্ঠির সাথে কাজ করার মানসিকতাসম্পন্ন আগ্রহী প্রার্থীদের নিকট থেকে বর্ণিত পদে দরখাস্ত আহবান করা যাচ্ছে। উল্লেখ থাকে যে, নির্বাচিত প্রার্থীদের বাংলাদেশের যে কোন জেলায় কাজ করার মানসিকতা থাকতে হবে। তবে, নারী প্রার্থীদের ক্ষেত্রে তাদের নিজ জেলায় অথবা নিজ জেলার নিকটবর্তী সিদীপ—এর কর্মএলাকায় খালি থাকা সাপেক্ষে পোস্টিং দেয়া হবে।","‘কমিউনিটি  প্যারামেডিকস’—এর দায়িত্ব ও কর্তব্যের আওতাধীন নির্ধারিত প্রাথমিক স্বাস্থ্যসেবা প্রদান করা;","Full-time, Contractual","বাংলাদেশ নার্সিং ও মিডওয়াইফারি কাউন্সিল অনুমোদিত ৪৩ টি প্রতিষ্ঠান হইতে প্যারামেডিক কোর্সের ডিগ্রি পাস এবং বাংলাদেশ নার্সিং ও মিডওয়াইফারি কাউন্সিল হতে কমিউনিটি প্যারামেডিকস পেশাদার হিসেবে রেজিস্ট্রেশনভূক্ত।","Age 22 to 35 years","বাংলাদেশের যেকোনো স্থানে","Tk. 10000 - 12000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Dental Technologist (BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Collaborates with dentists, orthodontists, and other dental lab techniciansRead specifications, and prescriptions and examine impressions or models to determine the design of dental products to be developedBuilds and repairs dental appliancesMakes crowns and bridges, full and partial dentures, dental implants, mouthguards, orthodontics, and other dental appliances.Uses common dental lab tools, including porcelain ovens and furnaces, pinning equipment, and lathesManaging supply inventories, performing routine equipment maintenance, and facilitating repairsDocumenting processes, as well as adhering to regulation and safety standardsExperience on administering dental x-raysEnsure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme's goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.","Collaborates with dentists, orthodontists, and other dental lab technicians","Full-time","The candidate must have Diploma in Dental Technology from any government-approved institute with a minimum CGPA 2.50 or 2nd class/ division or equivalent result in all academic examinations.","Age 22 to 38 years","Dhaka (Mirpur, Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Radiographer (BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Preparing examination rooms for patient examinationsPositioning patients and equipment, explaining the procedures, and ensuring patients' comfortPerforming diagnostic imaging to obtain clear, usable imagesMonitoring patients during examinations, ensuring their safety, and following procedures to prevent unnecessary exposure to radiation.Producing diagnostic images, reporting important information to the Physician, and updating patients' records.Performing scheduled maintenance and emergency repairs on imaging equipmentEnsure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme's goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, and encourage others to do so.","Preparing examination rooms for patient examinations","Full-time","The candidate should have a Diploma in Medical Technology (Radiography)/ATT(radiology) with a minimum CGPA 2.50 or 2nd division/ class or equivalent result in all academic examinations from any recognized institution.","Age 30 to 45 years","Dhaka (Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Front Desk Officer (Receptionist)","Medical Pharma","NEW LIFE GENERAL HOSPITAL(KERANIGANJ)","1","Welcoming patients, pharmaceutical representatives and vendors on the telephone and in-person visitors and answering patient inquires.
Scheduling appointments for patients.
Maintaining records and accounts of patients.  
Assisting patients in filling medical forms.","Welcoming patients, pharmaceutical representatives and vendors on the telephone and in-person visitors and answering patient inquires.","Full-time","Bachelor degree in any discipline","Age 22 to 35 years","Dhaka (Keraniganj)","Tk. 12000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Lab Technologist (BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Setting up and undertaking controlled experiments and investigationsCollecting, preparing and/or testing samples and calibrating instrumentsRecording and analyzing dataDemonstrating procedures Maintaining, calibrating, cleaning and testing sterility of the equipmentWriting reports, reviews and summarize dataEnsure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme’s goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.","Setting up and undertaking controlled experiments and investigations","Full-time","The candidate should have a Diploma in Medical Technology with a minimum CGPA of 2.50 or 2nd division/ class or equivalent result in all academic examinations from any recognized institution.","Age 22 to 40 years","Dhaka (Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Medical Officer","Medical Pharma","NEW LIFE GENERAL HOSPITAL(KERANIGANJ)","1","N/A","","Full-time","Bachelor of Medicine and Bachelor of Surgery(MBBS)","Age 22 to 40 years","Dhaka (Keraniganj)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Phlebotomist(BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Using technical equipment to safely draw blood from patients from Center and home Explaining the process of drawing blood clearly to a patient Reassuring and calming patients who might be nervous or scared of the procedureApplying dressings to the wound created by drawing blood Sending blood samples to testing laboratories with proper labelingKeeping track of blood samples and results that are returned after testingMaintaining an organized and clean work area based on health and safety regulations and the guidelinesAnswering patient questions regarding collection techniques and offering additional resources on the collection process if the patient requests themEnsure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme’s goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.","Using technical equipment to safely draw blood from patients from Center and home","Full-time","The candidate should have a Diploma in Laboratory Technology with a minimum CGPA of 2.50 or 2nd division/ class or equivalent result in all academic examinations from any recognized institution.","Age 22 to 35 years","Dhaka (Mirpur, Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Health Assistant (Sample Collection), (BRAC Health Enterprise)","Medical Pharma","BRAC Enterprises","Not specific","Using technical equipment to safely draw blood and other samples from patients Explaining the process of drawing blood clearly to a patient Reassuring and calming patients who might be nervous or scared of the procedureApplying dressings to the wound created by drawing blood Sending blood samples to testing laboratories with proper labelingKeeping track of blood samples and results that are returned after testingAnswering patient questions regarding collection techniques and offering additional resources on the collection process if the patient requests themAssisting Family physicians in home call (if required)Home delivery of online ordered medicines Ensure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme's goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment.Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action. Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.","Using technical equipment to safely draw blood and other samples from patients","Full-time","The candidate should have a Diploma in Laboratory Technology with a minimum CGPA 2.50 or 2nd division/ class or equivalent result in all academic examinations from any recognized institution.","Age 22 to 35 years","Dhaka (Uttara)","Negotiable"
